"Context","Question","Answer","Label"
"Tomatoes are rich in lycopene, an antioxidant that is good for the heart. Their bright red color comes from the high concentration of this compound.","What gives tomatoes their bright red color?","The bright red color of tomatoes comes from the high concentration of lycopene.",1
"Native to North America, blueberries are on the top of the list of antioxidant-rich foods. Besides being consumed fresh, they are commonly used in a variety of baked goodies.","Apart from being consumed fresh, how else are blueberries commonly used?","Blueberries are commonly used in a variety of baked goods.",1
"Olive is a fatty fruit of the olive tree. It is well known for the oil produced from it, which is used in cooking, soaps, and pharmaceuticals.","What products are derived from olives?","Products derived from olives include olive oil, soap, and pharmaceuticals.",1
"The papaya is a tropical fruit with sweet, succulent flesh. It hails from Central and South America, and is known for its high content of Vitamin C.","Where does papaya originate from?","Papaya originates from Central and South America.",1
"Watermelon is made up of 92% water, which is why it serves as a hydration source in dry climates. It also contains useful levels of Vitamin A and C.","What vitamins are present in watermelon?","Watermelon contains useful levels of Vitamin A and C.",1
"Pomegranates are a superfood with a very unique sweet-tart flavor. They are often used for their juice and the seeds are used for their sweet crunch in many dishes.","How are pomegranates used?","Pomegranates are often used for their juice and the seeds are used in many dishes for their sweet crunch.",1
"Plums, when dried become a new product known as prunes. They are high in fiber and help regulate the digestive system.","What is the dried form of a plum called?","The dried form of a plum is called a prune.",1
"The coconut is a unique fruit because of its large quantity of water, which can be drunk fresh from the coconut. The milk and oil from the coconut are used in cooking and cosmetics.","What can products can be obtained from coconut?","The coconut provides water, coconut milk, and coconut oil.",1
"Passion fruits are rich in Vitamin C and dietary fiber. The edible part of the fruit includes the juice and seeds, but the skin is discarded.","What parts of the passion fruit are typically eaten?","The commonly consumed parts of a passion fruit include its juice and seeds.",1
"Cantaloupes have a unique musky aroma when ripe. They are low in calories, yet rich in numerous health promoting poly-phenolic plant derived substances.","What is the nutritional benefit of cantaloupes?","Cantaloupes are low in calories and rich in numerous health promoting poly-phenolic plant derived substances.",1
"Avocados are well-known for their creamy texture and versatility in culinary uses. They are packed with healthy fats that can be beneficial for your heart and brain.","Why are avocados deemed as healthy?","Avocados contain healthy fats that are beneficial for heart and brain health.",1
"Both in taste and nutritional value, plums tend to stand out. They are particularly high in vitamins C and K.","Which vitamins are plums high in?","Plums are high in vitamins C and K.",1
"Citrus fruits exhibit a tough and aromatic rind encasing a juicy and often tangy pulp. They are particularly well known for their vitamin content.","What is unique about citrus fruits?","Citrus fruits are unique for their tough rind, aromatic scent, juicy pulp, tangy taste, and high vitamin content.",1
"Bananas are often a staple of breakfast menus, mixes well with other foods, and are known to be high in potassium.","What mineral are bananas known to contain in high amounts?","Bananas are known to contain high amounts of potassium.",1
"Apricots are known not only for their sweet and slightly tart flavor, but also for being a good source of vitamins A and C.","What vitamins are abundant in apricots?","Apricots are abundant in vitamins A and C.",1
"Strawberries are adored for their bright red color, juicy texture, and sweet flavor. They're a great source of vitamin C and manganese.","What nutrients are strawberries particularly high in?","Strawberries are particularly high in vitamin C and manganese.",1
"Cherries are best known for their delicious tart-sweet flavor and antioxidant properties. The anthocyanins in them may offer heart-protective properties.","What protective properties do cherries offer?","The anthocyanins in cherries may offer heart-protective properties.",1
"Mangoes usually have a sweet and creamy taste. They are also packed with vitamin A and C, making them a healthy and flavorful fruits.","What vitamins are known to be present in mangoes?","Mangoes are packed with vitamin A and C.",1
"Native to America, cranberries offer a unique balance of sweet and tart flavors. They're a good source of vitamin C and are often consumed as juice.","In what form is cranberry often consumed?","Cranberries are often consumed as juice.",1
"Kiwi is known for its unique taste and vibrant green color. It is particularly high in vitamin C and dietary fiber.","What nutrients are kiwis particularly rich in?","Kiwis are particularly rich in vitamin C and dietary fiber.",1
"Raspberries are adored for their unique balance of sweet and slightly tart flavor. They are surprisingly high in dietary fiber for such a small fruit.","What nutrient are raspberries surprisingly rich in?","Raspberries are surprisingly rich in dietary fiber.",1
"Blackberries have a sweet, tart flavor and are rich in antioxidants, making them a popular choice for a healthy snack or dessert.","What makes blackberries a healthy choice?","Blackberries are rich in antioxidants, making them a healthy choice.",1
"Pears are usually sweet and slightly juicy, and they are a great source of dietary fiber.","What nutritional benefit do pears provide?","Pears are a great source of dietary fiber.",1
"Pomegranates, with their jewel-toned seeds, not only taste good but also contain three types of antioxidant polyphenols.","What antioxidants are found in pomegranates?","Pomegranates contain antioxidant polyphenols.",1
